state_name,received_message,timestamp,voltage,ambientTemperature,ambientPressure,pressureAlt,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estAngularRateX,estAngularRateY,estAngularRateZ,magneticFieldX,magneticFieldY,magneticFieldZ,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,gpsLatitude,gpsLongitude,gpsAltitude,current_altitude,vertical_velocity,vertical_acceleration,maximum_altitude,pitch,roll,yaw,maximum_velocity,landing_velocity,crew_survivability
S,No Message Received,179996.0,0.0,14.81251526,1029.1895752,-131.87026978,0.22265625,-9.5625,0.41796875,0.0,0.0,0.0,-22.3125,-48.625,10.0,0.39624023,0.42071533,-0.58770752,-0.56616211,35.17577744,-76.82828522,-7.02199984,-0.3366394,0.0,9.57351834,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180032.0,0.0,14.81251526,1029.1895752,-131.87026978,0.14453125,-9.56640625,0.37890625,0.0,0.0,0.0,-21.5,-46.5,9.4375,0.39624023,0.42071533,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.3366394,0.0,9.5746125,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180048.0,0.0,14.81251526,1029.1895752,-131.87026978,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-22.9375,-48.375,10.3125,0.39624023,0.42071533,-0.58770752,-0.56616211,35.17577744,-76.82828522,-7.12699986,-0.3366394,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180083.0,0.0,14.81251526,1029.1895752,-131.87026978,0.03125,-9.60546875,0.37890625,0.0,0.0,0.0,-22.9375,-48.375,10.3125,0.39624023,0.42071533,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.3366394,0.0,9.61227371,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180096.0,0.0,14.82106781,1029.19042969,-131.87721252,0.0703125,-9.6015625,0.41796875,0.0,0.0,0.0,-21.8125,-47.5625,10.625,0.39624023,0.42071533,-0.58770752,-0.56622314,35.17577744,-76.82828522,-7.204,-0.34358215,0.0,9.61071282,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180132.0,0.0,14.82106781,1029.19042969,-131.87721252,-0.0078125,-9.56640625,0.41796875,0.0,0.0,0.0,-21.875,-48.3125,10.6875,0.3961792,0.42077637,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.34358215,0.0,9.57466609,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180147.0,0.0,14.82106781,1029.19042969,-131.87721252,0.03125,-9.56640625,0.49609375,0.0,0.0,0.0,-21.8125,-46.5625,9.4375,0.3961792,0.42077637,-0.58770752,-0.56622314,35.17577744,-76.82828522,-7.24800014,-0.34358215,0.0,9.57888053,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180172.0,0.0,14.82106781,1029.19042969,-131.87721252,0.03125,-9.56640625,0.37890625,0.0,0.0,0.0,-22.25,-47.5,9.875,0.3961792,0.42077637,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.34358215,0.0,9.57325897,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180193.0,0.0,14.82106781,1029.19042969,-131.87721252,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-22.25,-47.5,9.875,0.3961792,0.42077637,-0.58770752,-0.56622314,35.17577744,-76.82828522,-7.3130002,-0.34358215,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180224.0,0.0,14.82106781,1029.19042969,-131.87721252,0.14453125,-9.56640625,0.41796875,0.0,0.0,0.0,-22.25,-47.5,9.875,0.3961792,0.42077637,-0.58770752,-0.56622314,0.0,0.0,0.0,-0.34358215,0.0,9.57648635,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
